n_feats,metric,min,lower,mean,upper,max,class,fs
3,tnr,0.707,0.827,0.844,0.861,0.951,RFC,model
4,tnr,0.707,0.817,0.834,0.849,0.95,RFC,model
5,tnr,0.707,0.828,0.845,0.863,0.951,RFC,model
6,tnr,0.707,0.834,0.851,0.868,0.975,RFC,model
7,tnr,0.683,0.829,0.848,0.865,0.951,RFC,model
8,tnr,0.7,0.841,0.858,0.874,0.951,RFC,model
9,tnr,0.707,0.828,0.846,0.861,0.951,RFC,model
10,tnr,0.732,0.836,0.855,0.871,0.951,RFC,model
11,tnr,0.725,0.843,0.86,0.874,0.976,RFC,model
1,auc,0.513,0.64,0.655,0.671,0.754,RFC,model
2,auc,0.63,0.775,0.792,0.805,0.899,RFC,model
3,auc,0.702,0.779,0.794,0.806,0.879,RFC,model
4,auc,0.684,0.76,0.774,0.786,0.862,RFC,model
5,auc,0.658,0.767,0.781,0.796,0.893,RFC,model
6,auc,0.671,0.772,0.787,0.799,0.874,RFC,model
7,auc,0.662,0.769,0.782,0.794,0.874,RFC,model
8,auc,0.682,0.764,0.776,0.79,0.882,RFC,model
9,auc,0.66,0.766,0.78,0.793,0.889,RFC,model
10,auc,0.687,0.769,0.782,0.795,0.885,RFC,model
11,auc,0.664,0.771,0.784,0.797,0.884,RFC,model
1,auprc,0.331,0.49,0.512,0.535,0.661,RFC,model
2,auprc,0.474,0.628,0.654,0.679,0.791,RFC,model
3,auprc,0.497,0.618,0.636,0.658,0.783,RFC,model
4,auprc,0.46,0.585,0.605,0.626,0.787,RFC,model
5,auprc,0.438,0.6,0.622,0.644,0.793,RFC,model
6,auprc,0.421,0.607,0.63,0.65,0.771,RFC,model
7,auprc,0.434,0.612,0.633,0.651,0.775,RFC,model
8,auprc,0.461,0.603,0.622,0.643,0.765,RFC,model
9,auprc,0.452,0.597,0.618,0.637,0.754,RFC,model
10,auprc,0.462,0.606,0.625,0.645,0.774,RFC,model
11,auprc,0.447,0.612,0.635,0.654,0.763,RFC,model
